id,title,location,link,date_posted,company,categories,key
R28137,Senior Data Steward – AI & Data,"Plantation, FL",https://careers.chewy.com/us/en/job/R28137/Senior-Data-Steward-AI-Data,2026-01-22T00:00:00.000+0000,Chewy,,Senior Data Steward – AI & Data||https://careers.chewy.com/us/en/job/R28137/Senior-Data-Steward-AI-Data||Chewy
R27673,"Director, Data Engineering and Analytics","Plantation, FL",https://careers.chewy.com/us/en/job/R27673/Director-Data-Engineering-and-Analytics,2026-01-21T00:00:00.000+0000,Chewy,,"Director, Data Engineering and Analytics||https://careers.chewy.com/us/en/job/R27673/Director-Data-Engineering-and-Analytics||Chewy"
R28163,P2P Analyst,"Plantation, FL",https://careers.chewy.com/us/en/job/R28163/P2P-Analyst,2026-01-21T00:00:00.000+0000,Chewy,,P2P Analyst||https://careers.chewy.com/us/en/job/R28163/P2P-Analyst||Chewy
R28164,P2P Analyst,"Plantation, FL",https://careers.chewy.com/us/en/job/R28164/P2P-Analyst,2026-01-21T00:00:00.000+0000,Chewy,,P2P Analyst||https://careers.chewy.com/us/en/job/R28164/P2P-Analyst||Chewy
R28003,"Manager, Data Science III","Richardson, TX",https://careers.chewy.com/us/en/job/R28003/Manager-Data-Science-III,2026-01-20T00:00:00.000+0000,Chewy,,"Manager, Data Science III||https://careers.chewy.com/us/en/job/R28003/Manager-Data-Science-III||Chewy"
R28107,"AD, Data Engineering","Plantation, FL",https://careers.chewy.com/us/en/job/R28107/AD-Data-Engineering,2026-01-21T00:00:00.000+0000,Chewy,,"AD, Data Engineering||https://careers.chewy.com/us/en/job/R28107/AD-Data-Engineering||Chewy"
R27974,Senior Financial Analyst,"Bellevue, WA",https://careers.chewy.com/us/en/job/R27974/Senior-Financial-Analyst,2026-01-21T00:00:00.000+0000,Chewy,,Senior Financial Analyst||https://careers.chewy.com/us/en/job/R27974/Senior-Financial-Analyst||Chewy
R28405,Senior Payroll Tax Analyst,USA - FL - Plantation - FLL7,https://careers.chewy.com/us/en/job/R28405/Senior-Payroll-Tax-Analyst,2026-01-22T00:00:00.000+0000,Chewy,,Senior Payroll Tax Analyst||https://careers.chewy.com/us/en/job/R28405/Senior-Payroll-Tax-Analyst||Chewy
R28097,"Senior Director, Pricing and Data Science","Bellevue, WA",https://careers.chewy.com/us/en/job/R28097/Senior-Director-Pricing-and-Data-Science,2026-01-21T00:00:00.000+0000,Chewy,,"Senior Director, Pricing and Data Science||https://careers.chewy.com/us/en/job/R28097/Senior-Director-Pricing-and-Data-Science||Chewy"
R28172,Business Intelligence Engineer III,"Bellevue, WA",https://careers.chewy.com/us/en/job/R28172/Business-Intelligence-Engineer-III,2026-01-21T00:00:00.000+0000,Chewy,,Business Intelligence Engineer III||https://careers.chewy.com/us/en/job/R28172/Business-Intelligence-Engineer-III||Chewy
,"Analyst, Strategic Sales & Analytics","Needham, MA ",https://careers.sharkninja.com/job/needham/analyst-strategic-sales-and-analytics/47204/90762137552,01/19/2026,SharkNinja,"Strategic, Sales, &, Analytics","Analyst, Strategic Sales & Analytics||https://careers.sharkninja.com/job/needham/analyst-strategic-sales-and-analytics/47204/90762137552||SharkNinja"
,SS&A Analyst Mexico,"Mexico City, Mexico City ",https://careers.sharkninja.com/job/mexico-city/ss-and-a-analyst-mexico/47204/90697408864,01/17/2026,SharkNinja,"Strategic, Sales, &, Analytics",SS&A Analyst Mexico||https://careers.sharkninja.com/job/mexico-city/ss-and-a-analyst-mexico/47204/90697408864||SharkNinja
,SS&A Analyst LATAM,"Mexico City, Mexico City ",https://careers.sharkninja.com/job/mexico-city/ss-and-a-analyst-latam/47204/90697408848,01/17/2026,SharkNinja,"Strategic, Sales, &, Analytics",SS&A Analyst LATAM||https://careers.sharkninja.com/job/mexico-city/ss-and-a-analyst-latam/47204/90697408848||SharkNinja
,Sales Analyst,"London, England ",https://careers.sharkninja.com/job/london/sales-analyst/47204/90589444000,01.14.2026,SharkNinja,Sales,Sales Analyst||https://careers.sharkninja.com/job/london/sales-analyst/47204/90589444000||SharkNinja
,Analyste des comptes clients – Région Mexique // Accounts Receivable Analyst – Mexico Region,"Montreal, Quebec ",https://careers.sharkninja.com/job/montreal/analyste-des-comptes-clients-region-mexique-accounts-receivable-analyst-mexico-region/47204/90589440240,01.14.2026,SharkNinja,Finance,Analyste des comptes clients – Région Mexique // Accounts Receivable Analyst – Mexico Region||https://careers.sharkninja.com/job/montreal/analyste-des-comptes-clients-region-mexique-accounts-receivable-analyst-mexico-region/47204/90589440240||SharkNinja
,Inventory Analyst,"Leeds, Leeds, England ",https://careers.sharkninja.com/job/leeds/inventory-analyst/47204/89539516528,12/15/2025,SharkNinja,"Supply, Chain",Inventory Analyst||https://careers.sharkninja.com/job/leeds/inventory-analyst/47204/89539516528||SharkNinja
,"Senior Director, Global Business Transformation","Needham, MA ",https://careers.sharkninja.com/job/needham/senior-director-global-business-transformation/47204/89452467120,12/12/2025,SharkNinja,Operations,"Senior Director, Global Business Transformation||https://careers.sharkninja.com/job/needham/senior-director-global-business-transformation/47204/89452467120||SharkNinja"
,Strategic Sales Analyst – EMEA Marketplace,"London, England ",https://careers.sharkninja.com/job/london/strategic-sales-analyst-emea-marketplace/47204/86514362048,12/11/2025,SharkNinja,"Strategic, Sales, &, Analytics",Strategic Sales Analyst – EMEA Marketplace||https://careers.sharkninja.com/job/london/strategic-sales-analyst-emea-marketplace/47204/86514362048||SharkNinja
,"Sales Analyst – Walmart, Shark","Bentonville, AR ",https://careers.sharkninja.com/job/bentonville/sales-analyst-walmart-shark/47204/85171391424,12/05/2025,SharkNinja,Sales,"Sales Analyst – Walmart, Shark||https://careers.sharkninja.com/job/bentonville/sales-analyst-walmart-shark/47204/85171391424||SharkNinja"
,Category Analyst,"Needham, MA ",https://careers.sharkninja.com/job/needham/category-analyst/47204/88388138576,11/13/2025,SharkNinja,"Strategic, Sales, &, Analytics",Category Analyst||https://careers.sharkninja.com/job/needham/category-analyst/47204/88388138576||SharkNinja
,Senior Data Engineer,"London, England ",https://careers.sharkninja.com/job/london/senior-data-engineer/47204/88342754672,11/12/2025,SharkNinja,"Data, and, Analytics",Senior Data Engineer||https://careers.sharkninja.com/job/london/senior-data-engineer/47204/88342754672||SharkNinja
,Commercial Finance Analyst (m/f/d),"Frankfurt am Main, Hesse ",https://careers.sharkninja.com/job/frankfurt-am-main/commercial-finance-analyst-m-f-d/47204/88044565600,11/04/2025,SharkNinja,FP&A,Commercial Finance Analyst (m/f/d)||https://careers.sharkninja.com/job/frankfurt-am-main/commercial-finance-analyst-m-f-d/47204/88044565600||SharkNinja
,Supply Chain Network Analyst,"Leeds, Leeds, England ",https://careers.sharkninja.com/job/leeds/supply-chain-network-analyst/47204/87747858528,10/27/2025,SharkNinja,Logistics,Supply Chain Network Analyst||https://careers.sharkninja.com/job/leeds/supply-chain-network-analyst/47204/87747858528||SharkNinja
r0013960,Senior Finance Workday Analyst,,https://jobs.snhu.edu/en/jobs/r0013960/senior-finance-workday-analyst/,,SNHU,,Senior Finance Workday Analyst||https://jobs.snhu.edu/en/jobs/r0013960/senior-finance-workday-analyst/||SNHU
r0013801,Student - Friends of Aine Data Assistant (Work Study Only),,https://jobs.snhu.edu/en/jobs/r0013801/student-friends-of-aine-data-assistant-work-study-only/,,SNHU,,Student - Friends of Aine Data Assistant (Work Study Only)||https://jobs.snhu.edu/en/jobs/r0013801/student-friends-of-aine-data-assistant-work-study-only/||SNHU
r0013713,Student - Nashua Center Data & Training Coordinator (Work Study Only),,https://jobs.snhu.edu/en/jobs/r0013713/student-nashua-center-data-training-coordinator-work-study-only/,,SNHU,,Student - Nashua Center Data & Training Coordinator (Work Study Only)||https://jobs.snhu.edu/en/jobs/r0013713/student-nashua-center-data-training-coordinator-work-study-only/||SNHU
R28404,Accounting and Data Rebate Analyst,"Plantation, FL",https://careers.chewy.com/us/en/job/R28404/Accounting-and-Data-Rebate-Analyst,2026-01-23T00:00:00.000+0000,Chewy,,Accounting and Data Rebate Analyst||https://careers.chewy.com/us/en/job/R28404/Accounting-and-Data-Rebate-Analyst||Chewy
R28382,Senior Financial Analyst,"Plantation, FL",https://careers.chewy.com/us/en/job/R28382/Senior-Financial-Analyst,2026-01-23T00:00:00.000+0000,Chewy,,Senior Financial Analyst||https://careers.chewy.com/us/en/job/R28382/Senior-Financial-Analyst||Chewy
R28584,Category Analyst - KM,"Plantation, FL",https://careers.chewy.com/us/en/job/R28584/Category-Analyst-KM,2026-01-23T00:00:00.000+0000,Chewy,,Category Analyst - KM||https://careers.chewy.com/us/en/job/R28584/Category-Analyst-KM||Chewy
dicks_202600240,Analyst Floor Planning,coraopolis PA,https://www.dickssportinggoods.jobs/job/analyst-floor-planning/coraopolis-PA/202600240/,,Dicks Sporting Goods,,Analyst Floor Planning||https://www.dickssportinggoods.jobs/job/analyst-floor-planning/coraopolis-PA/202600240/||Dicks Sporting Goods
dicks_202519884,Senior Program Manager Enterprise Data Intelligence Platforms Teammate,remote,https://www.dickssportinggoods.jobs/job/senior-program-manager-enterprise-data-intelligence-platforms-teammate/remote/202519884/,,Dicks Sporting Goods,,Senior Program Manager Enterprise Data Intelligence Platforms Teammate||https://www.dickssportinggoods.jobs/job/senior-program-manager-enterprise-data-intelligence-platforms-teammate/remote/202519884/||Dicks Sporting Goods
dicks_202519707,Senior Strategic Sourcing Analyst Tech Ecommerce Prof Services,coraopolis PA,https://www.dickssportinggoods.jobs/job/senior-strategic-sourcing-analyst-tech-ecommerce-prof-services/coraopolis-PA/202519707/,,Dicks Sporting Goods,,Senior Strategic Sourcing Analyst Tech Ecommerce Prof Services||https://www.dickssportinggoods.jobs/job/senior-strategic-sourcing-analyst-tech-ecommerce-prof-services/coraopolis-PA/202519707/||Dicks Sporting Goods
dicks_202519626,Ad Starr Salesforce Admin Business Analyst,coraopolis PA,https://www.dickssportinggoods.jobs/job/ad-starr-salesforce-admin-business-analyst/coraopolis-PA/202519626/,,Dicks Sporting Goods,,Ad Starr Salesforce Admin Business Analyst||https://www.dickssportinggoods.jobs/job/ad-starr-salesforce-admin-business-analyst/coraopolis-PA/202519626/||Dicks Sporting Goods
dicks_202519097,Analyst Floor Planning,coraopolis PA,https://www.dickssportinggoods.jobs/job/analyst-floor-planning/coraopolis-PA/202519097/,,Dicks Sporting Goods,,Analyst Floor Planning||https://www.dickssportinggoods.jobs/job/analyst-floor-planning/coraopolis-PA/202519097/||Dicks Sporting Goods
dicks_202518523,People Data Lead Remote,remote,https://www.dickssportinggoods.jobs/job/people-data-lead-remote/remote/202518523/,,Dicks Sporting Goods,,People Data Lead Remote||https://www.dickssportinggoods.jobs/job/people-data-lead-remote/remote/202518523/||Dicks Sporting Goods
dicks_202418566,Legal Analyst Litigation,coraopolis PA,https://www.dickssportinggoods.jobs/job/legal-analyst-litigation/coraopolis-PA/202418566/,,Dicks Sporting Goods,,Legal Analyst Litigation||https://www.dickssportinggoods.jobs/job/legal-analyst-litigation/coraopolis-PA/202418566/||Dicks Sporting Goods
dicks_202519577,Senior Data And Process Analyst,coraopolis PA,https://www.dickssportinggoods.jobs/job/senior-data-and-process-analyst/coraopolis-PA/202519577/,,Dicks Sporting Goods,,Senior Data And Process Analyst||https://www.dickssportinggoods.jobs/job/senior-data-and-process-analyst/coraopolis-PA/202519577/||Dicks Sporting Goods
dicks_202511243,Lead Data Scientist Search Remote,remote,https://www.dickssportinggoods.jobs/job/lead-data-scientist-search-remote/remote/202511243/,,Dicks Sporting Goods,,Lead Data Scientist Search Remote||https://www.dickssportinggoods.jobs/job/lead-data-scientist-search-remote/remote/202511243/||Dicks Sporting Goods
dicks_202518961,Senior Data Scientist Operations Research Decision Engine Remote,remote,https://www.dickssportinggoods.jobs/job/senior-data-scientist-operations-research-decision-engine-remote/remote/202518961/,,Dicks Sporting Goods,,Senior Data Scientist Operations Research Decision Engine Remote||https://www.dickssportinggoods.jobs/job/senior-data-scientist-operations-research-decision-engine-remote/remote/202518961/||Dicks Sporting Goods
dicks_202518988,Senior Data Scientist Customer Intent Decision Engine Remote,remote,https://www.dickssportinggoods.jobs/job/senior-data-scientist-customer-intent-decision-engine-remote/remote/202518988/,,Dicks Sporting Goods,,Senior Data Scientist Customer Intent Decision Engine Remote||https://www.dickssportinggoods.jobs/job/senior-data-scientist-customer-intent-decision-engine-remote/remote/202518988/||Dicks Sporting Goods
